District,State,data_date,new_pat,pop,long,lat,no_pat
Seoul,Seoul,20200122,0,9689159,126.978,37.5665,0
Seoul,Seoul,20200123,0,9689159,126.978,37.5665,0
Seoul,Seoul,20200124,1,9689159,126.978,37.5665,1
Seoul,Seoul,20200125,0,9689159,126.978,37.5665,1
Seoul,Seoul,20200126,0,9689159,126.978,37.5665,1
Seoul,Seoul,20200127,0,9689159,126.978,37.5665,1
Seoul,Seoul,20200128,0,9689159,126.978,37.5665,1
Seoul,Seoul,20200129,0,9689159,126.978,37.5665,1
Seoul,Seoul,20200130,3,9689159,126.978,37.5665,4
Seoul,Seoul,20200131,3,9689159,126.978,37.5665,7
Seoul,Seoul,20200201,0,9689159,126.978,37.5665,7
Seoul,Seoul,20200202,0,9689159,126.978,37.5665,7
Seoul,Seoul,20200203,0,9689159,126.978,37.5665,7
Seoul,Seoul,20200204,0,9689159,126.978,37.5665,7
Seoul,Seoul,20200205,2,9689159,126.978,37.5665,9
Seoul,Seoul,20200206,1,9689159,126.978,37.5665,10
Seoul,Seoul,20200207,0,9689159,126.978,37.5665,10
Seoul,Seoul,20200208,0,9689159,126.978,37.5665,10
Seoul,Seoul,20200209,0,9689159,126.978,37.5665,10
Seoul,Seoul,20200210,0,9689159,126.978,37.5665,10
Seoul,Seoul,20200211,0,9689159,126.978,37.5665,10
Seoul,Seoul,20200212,0,9689159,126.978,37.5665,10
Seoul,Seoul,20200213,0,9689159,126.978,37.5665,10
Seoul,Seoul,20200214,0,9689159,126.978,37.5665,10
Seoul,Seoul,20200215,0,9689159,126.978,37.5665,10
Seoul,Seoul,20200216,1,9689159,126.978,37.5665,11
Seoul,Seoul,20200217,1,9689159,126.978,37.5665,12
Seoul,Seoul,20200218,1,9689159,126.978,37.5665,12
Seoul,Seoul,20200219,1,9689159,126.978,37.5665,13
Seoul,Seoul,20200220,1,9689159,126.978,37.5665,14
Seoul,Seoul,20200221,7,9689159,126.978,37.5665,21
Seoul,Seoul,20200222,3,9689159,126.978,37.5665,24
Seoul,Seoul,20200223,1,9689159,126.978,37.5665,25
Seoul,Seoul,20200224,6,9689159,126.978,37.5665,31
Seoul,Seoul,20200225,9,9689159,126.978,37.5665,40
