city,administrative_district,city_2,city_3,city_4,city_5
jung,downtown,downtown,center,east,north
seongbuk,northeast,northeast,northeast,east,north
seongdong,northeast,northeast,northeast,east,north
dongdaemun,northeast,northeast,northeast,east,north
jungnang,northeast,northeast,northeast,east,north
gangnam,southeast,southeast,southeast,east,south
jongno,downtown,downtown,center,east,north
songpa,southeast,southeast,southeast,east,south
seodaemun,southeast,southeast,southeast,east,south
mapo,northwest,northwest,northwest,west,north
eunpyeong,northwest,northwest,northwest,west,north
seocho,southeast,southeast,southeast,east,south
gwangjin,northeast,northeast,northeast,east,north
guro,southwest,southwest,center,west,south
dobong,northeast,northeast,northeast,east,north
dongjak,southwest,southwest,center,west,south
yongsan,downtown,downtown,center,east,north
yeongdeungpo,southwest,southwest,center,west,south
geumcheon,southwest,southwest,center,west,south
gwanak,southwest,southwest,center,west,south
gangdong,southeast,southeast,southeast,east,south
nowon,northeast,northeast,northeast,east,north
yangcheon,southwest,southwest,center,west,south
gangseo,southwest,southwest,center,west,south
gangbuk,northeast,northeast,northeast,east,north
other,other,other,other,other,other
gwnagjin,northeast,northeast,northeast,east,north
dongdaemoon,northeast,northeast,northeast,east,north
seodaemoon,northwest,northwest,northwest,west,north
