type,type_1,type_2,type_3,type_4,type_5,type_6
hospital,medical_institution,medical_institution,medical_institution,medical_institution,group,medical_institution
etc,other,other,other,other,other,other
store,store,store,group,store,group,store
public_transportation,public_transportation,public_transportation,public_transportation,public_transportation,group,public_transportation
restaurant,fnb,fnb,group,fnb,group,fnb
church,religious_facility,religious_facility,religious_facility,religious_facility,religious_facility,religious_facility
pharmacy,medical_institution,medical_institution,medical_institution,medical_institution,group,medical_institution
pc_cafe,entertainment_facility,entertainment_facility,entertainment_facility,entertainment_facility,entertainment_facility,entertainment_facility
airport,public_transportation,public_transportation,public_transportation,public_transportation,group,public_transportation
bakery,fnb,fnb,group,fnb,group,fnb
bar,fnb,fnb,group,fnb,group,fnb
cafe,fnb,fnb,group,fnb,group,fnb
gym,sports_facility,sports_facility,sports_facility,group,sports_facility,group
beauty_salon,service_facility,service_facility,service_facility,group,service_facility,group
bank,service_facility,service_facility,service_facility,group,service_facility,group
school,educational_institution,educational_institution,group,educational_institution,group,group
real_estate_agency,service_facility,service_facility,service_facility,group,service_facility,group
karaoke,entertainment_facility,entertainment_facility,entertainment_facility,entertainment_facility,entertainment_facility,entertainment_facility
post_office,service_facility,service_facility,service_facility,group,service_facility,group
gas_station,service_facility,service_facility,service_facility,group,service_facility,group
lodging,lodging,lodging,lodging,lodging,lodging,lodging
convenience_store,store,store,group,store,group,store
subway,public_transportation,public_transportation,public_transportation,public_transportation,group,public_transportation
administrative_area_level_1,public_institution,public_institution,public_institution,public_institution,public_institution,public_institution
night_club,club,club,club,club,club,club
atm,finantial_institution,finantial_institution,group,finantial_institution,finantial_institution,group
study,gethering,gethering,gethering,gethering,group,gethering
laundry,service_facility,service_facility,service_facility,group,service_facility,group
department_store,store,store,group,store,group,store
park,outdoor,outdoor,outdoor,outdoor,outdoor,outdoor
dorm,lodging,lodging,lodging,lodging,lodging,lodging
car_repair,service_facility,service_facility,service_facility,group,service_facility,group
academy,educational_institution,educational_institution,group,educational_institution,group,group
work,work,work,work,work,group,work
sauna,sauna,sauna,sauna,sauna,sauna,group
welfare_center,public_institution,public_institution,public_institution,public_institution,public_institution,public_institution
studio,other,other,other,other,other,other
temple,religious_facility,religious_facility,religious_facility,religious_facility,religious_facility,religious_facility
door_sales,door_sales,door_sales,door_sales,door_sales,door_sales,door_sales
real_estate,service_facility,service_facility,service_facility,group,service_facility,group
supermarket,store,store,group,store,group,store
library,public_institution,public_institution,public_institution,public_institution,public_institution,public_institution
funeral,hall,hall,hall,group,hall,hall
finantial_institution,finantial_institution,finantial_institution,group,finantial_institution,finantial_institution,group
sports_facility,sports_facility,sports_facility,sports_facility,group,sports_facility,group
office,work,work,work,work,group,work
train,public_transportation,public_transportation,public_transportation,public_transportation,group,public_transportation
market,store,store,group,store,group,store
printing_house,other,other,other,other,other,other
kindergarten,educational_institution,educational_institution,group,educational_institution,group,group
religious_facility,religious_facility,religious_facility,religious_facility,religious_facility,religious_facility,religious_facility
mountain,outdoor,outdoor,outdoor,outdoor,outdoor,outdoor
animal_hospital,other,other,other,other,other,other
theater,hall,hall,hall,group,hall,hall
arcade,entertainment_facility,entertainment_facility,entertainment_facility,entertainment_facility,entertainment_facility,entertainment_facility
childcare_institution,educational_institution,educational_institution,group,educational_institution,group,group
rest_area,other,other,other,other,other,other
stroe,store,store,group,store,group,store
museum,exhibition,exhibition,exhibition,exhibition,exhibition,exhibition
exhibition,exhibition,exhibition,exhibition,exhibition,exhibition,exhibition
loundary,service_facility,service_facility,service_facility,group,service_facility,group
car_wash,service_facility,service_facility,service_facility,group,service_facility,group
educational_institution,educational_institution,educational_institution,group,educational_institution,group,group
public_institution,public_institution,public_institution,public_institution,public_institution,public_institution,public_institution
wedding_hall,hall,hall,hall,group,hall,hall
golf,sports_facility,sports_facility,sports_facility,group,sports_facility,group
concert_hall,hall,hall,hall,group,hall,hall
home,lodging,lodging,lodging,lodging,lodging,lodging
organization,gethering,gethering,gethering,gethering,group,gethering
bus,public_transportation,public_transportation,public_transportation,public_transportation,group,public_transportation
